Word,Translation,Probability
To scald,Ошпарить,1
A knee ,Колено,1
To write out,Выписывать,1
A thief,Вор,1
A needle,Иголка,1
Thread,Нитка,1
To prick,Уколоть,1
To put smth aside ,Отложить что-то в сторону,1
Abroad ,Заграница,1
Enormous ,Громадный,1
To set in,Установиться,1
To pour out,Выливать,1
To hesitate whether to do smth or not,"Колебаться, сомневаться",1
All over the world,По всему мире,1
To make a big impression,Произвести большое впечатление,1
Lake shore,Берег озера,1
Sea coast,Берег моря,1
Past the house,Мимо дома,1
To crumple,Смять,1
Damp,Сыро,1
To set out,Отправляться,1
A vessel ,"Судно, корабль",1
To reply,Отвечать,1
To reveal,Обнаруживать,1
Favorable,Благоприятный,1
In on time,Очень быстро,1
A halt,Остановка,1
To stir,Размешивать,1
A resistance,Сопротивление,1
A current,"Течение, ток",1
Black/red currant,Черная/красная смородина,1
Lean,Худой,1
A spring,Пружина,1
To spring,Отскакивать,1
Time is pressing,Время поджимает,1
Let me help you / permit me to help you,Позвольте мне вам помочь,1
In the open air,На открытом воздухе,1
It goes without saying,Само собой разумеющееся,1
To take up,Заниматься / начать заниматься,1
To be in the habit of doing smth,Иметь привычку что-то делать,1
To get a habit of doing smth,Привыкнуть делать что-то,1
To get out of the habit of doing smth,Отвыкнуть делать что-то,1
A waist,Талия,1
Trifles,Мелочи,1
To avoid doing smth,Избегать делания чего-то,1
Deaf-and-dumb,Глухонемой,1
To fuss,Суетиться,1
Thorough,Тщательный,1
Don’t mind doing smth,Не против делать что-то,1
To hate doing smth,Ненавидеть что-то делать,1
In spite of,Несмотря на,1
Can't bear,Терпеть не могу,1
Smth + be + worth + doing,Что-то стоит сделать,1
To wonder,"Удивляться, интересоваться",1
Remember to call him,"Помните, что ему надо позвонить",1
Remember calling him yesterday,"Я помню, что я звонил ему вчера",1
To avoid,Избегать,1
To put off,Отложить,1
Interfering,Вмешательство,1
Though / although,Хотя,1
To deny,Отрицать,1
To commit a crime,Совершить приступление,1
Cannot help doing,Не мог не сделать…,1
To tremble / to shiver,Дрожать,1
To pretend to be,Притворяться,1
To tear,Рвать,1
To look forward to doing smth,"Ждать с нетерпением, чтоб сделать что-то",1
To deceive,Обманывать,1
A peasant,Крестьянин,1
To give up the idea of,Отказаться от идеи,1
To hear from smbd,Слышать о ком-то,1
Dream about (of),Мечтать о чем-либо (просто мечтать / мечтать с планов воплотить в жизнь),1
To persist in,Настаивать на (много раз),1
To insist on,Настаивать на (однократно),1
To accuse of …,Обвинять в …,1
To treat,Относиться,1
To confess to smth,Признаваться в чем-то,1
It’s no use,Бесполезно …,1
To reproach smbd for smth,Упрекать кого-то в чем-то,1
To be accustomed to,Привыкнуть,1
To object to doing smth,Возражать делать что-то,1
Mere chance,Простая случайность,1
At the thought …,При мысли …,1
To write down,Записывать,1
To glance at ,Взглянуть на,1
Curiously,Любопытно,1
Curiously enough,Как ни странно,1
All the time,Все время,1
To sit up late,Засиживаться,1
To approve of,Одобрять ,1
To give up doing smth,Бросить что-то делать,1
Lets try it,Давайте попробуем,1
The rain has just stoped,Дождь только что перестал,1
It has just stoped raining,Дождь только что перестал,1
To do good,Делать добро,1
To admire,Любоваться,1
To tease,Дразнить,1
To catch cold,Простудиться,1
He is a headache department,От него одни неприятности,1
To apologise to smbd for (doing) smth,Извиниться перед кем-то за что-то,1
To be angry with smbd,Серидться на кого-то,1
A just man,Справедливый человек,1
To behave your self,Веди себя прилично,1
Flour,Мука,1
Flowers,Цветы,1
Do not misunderstand me,Поймите меня правильно,1
Innocent,Невиновный,1
To bother,Беспокоиться,1
To have a gift for smth,Иметь дар к чему-то,1
To be present at,Присутствовать,1
To be absent from,Отсутствовать,1
To hijack ,Захватывать,1
To jack,Поднять на домкрате,1
To shrink - shrank - shrunk,"Сжиматься, сокращаться",1
A pavement,Тротуар,1
Scenery,Пейзаж,1
It’s no use doing smth,Бесполезно что-то делать,1
A rehearsal,Репетиция,1
A dress rehearsal,Генеральная репетиция,1
Ash,Пепел,1
Trav,Поднос,1
Ash tray,Пепельница,1
To get rid of smth,Избавиться от чего-то,1
To schedule,Планировать,1
Let’s call it a day,"Давайте закончим (день закончился, наверное подразумевается рабочий)",1
A spade,Лопата,1
To call a spade a spade,Называть вещи своими именами,1
To have a big mouth,Много болтает,1
Permission,Разрешение,1
Groceries,Продукты,1
Spare parts,Запчасти,1
To spare,Тратить,1
Give me a hand,Помогите мне,1
To wreck,Разрушать,1
To require,Требовать,1
To supply,Поставлять,1
To quarrel with smbd,Поссориться с кем-то,1
A hint,Подсказка,1
To be aware,Быть в курсе,1
To get along with smbd,Ладить с кем-то,1
To belong,Принадлежать,1
To bend over,Наклоняться,1
A response,"Ответ, реакция",1
To poke smbd with a stick,Тыкать кого-либо палкой,1
On purpose,Специально,1
To expend,Расширять,1
A perception,Восприятие,1
Improving,Улучшать,1
At first sight,С первого взгляда,1
A slave,Раб,1
Leaser ,Кожанный,1
To talk smbd out of doing smth,Отговорить кого-то от (делания) чего-то,1
To talk smbd in doing smth,Уговорить кого-то от (делания) чего-то,1
To suspect,Подозревать,1
A convict,Осужденный,1
To accuse,Обвинять,1
To refuse,Отказываться,1
To admit,Признавать,1
A summit,Вершина,1
To catch a glimpse,Быстро взглянуть,1
T-junction,Т-образный перекресток,1
To pick on smbd,Придраться к кому-то,1
Due to,Из-за,1
Each other = one another,Друг друга,1
To argu,Спорить,1
To back up,Сдавать назад,1
Ahead,Впереди,1
A trunk,"Багажник, ствол дереваб хобот слона",1
To pour,"Насыпать, наливать",1
To play a good joke on smbd,Подшутить над кем-то,1
To provide,Предоставлять,1
Convenient,Удобный,1
Regarding…,Касательно…,1
A schedule,Расписание,1
To reduce,"Уменьшать, снижать, скоращать",1
An emphasis,Акцент,1
Proper,"Правильный, достоверный",1
A prohibition,Запрет,1
To attend,Посещать,1
To desire,Желать,1
To behave,Вести себя,1
Negotiations,Переговоры,1
A defeat,Поражение,1
A restriction,Запрет ограничение,1
Instead of doing,Вместо …,1
To require,Требовать,1
Meanwhile,Тем временем,1
Despite,Не смотря,1
An outbreak,Вспышка,1
An impact,Влияние,1
Straightforward,Просто,1
A delay,Задержка,1
Provided,При условии …,1
To pass out,Вырубиться,1
To be angry with smbd,Злиться на кого-то,1
Even though,Несмотря на то,1
A nagging problem,Насущная проблема,1
"However you look at it, …",Как ни посмотри,1
An impact,"Вклад, влияние",1
In order to/so as to + infinitive,Для того чтобы (формальный язык),1
So that + clause,Для того чтобы,1
In case + clause,В случае если,1
Consequently,Следовательно,1
Therefore,Поэтому,1
However,Однако,1
At least,"По крайней мере, как минимум",1
All in all,"В общем, в целом",1
Besides,"Помимо, кроме того",1
Furthermore,Более того,1
Otherwise,В противном случае,1
Whereas,В то время как,1
As a matter of fact,Собственно говоря,1
Regarding,Касательно,1
As far as,"Насколько, посколько, что касательно…",1
Anyway,Тем не менее,1
By the way,Кстати,1
Incidentally,Между прочим,1
After all,В конце концов,1
To restricte,Запрещать,1
On purpose,Специально,1
Otherwise,В противном случае,1
Arbitrary,Любой,1
To fulfil,"Заполнять, выполнять",1
To conducte,Производить,1
To insist on doing smth,Настаивать делать что-то,1
Though ,Хотя,1
On behalf of,От имени,1
A staіn,Пятно,1
A pеrmіssіon,Разрешение,1
A promotion,Продвижение,1
A reduction,Сокращение,1
In tern,По очереди,1
To cope,Справляться,1
Hardly,Едва,1
To pass out,"Потерять сознание, умереть",1
Instead of,Вместо,1
Pale,Бледный,1
Pail,Ведро,1
To be up(down) for smth,Быть за (что-то),1
To make out,Разобрать (увидеть),1
To overhear,Подслушивать,1
Hence,Следовательно,1
But for smth,Если бы не что-то,1
To write out,Выписывать,1
To drop in smwh,Заскочить куда-то,1
To come up,"Подниматься, подходить",1
To cry out,Воскликнуть,1
Despair,Отчаяние,1
Every other day,Через день,1
To make a request,Обратиться с просьбой,1
It’s high time,Давно пора,1
If it wasn’t for you,Если бы не вы,1
To make smbd do,Заставить кого-то сделать что-то,1
To provok,Провоцировать,1
The first night,Премьера,1
"As it turned out, …","Оказалось, …",1
To insist on,Настаивать,1
To treat,"Обращаться, лечить",1
To avoid doing smth,Избегать деланья чего-о,1
Brief,Короткий,1
So far,До сих пор,1
The fence,Забор,1
Nеwly,Недавно,1
To advеrtіsе,Рекламировать,1
All over the world,Во всем мире,1
To cry with joy,Плакать от радости,1
To cry for shame,Плакать от стыда,1
To refuse the offer,Отказаться от предложения,1
To be capable of doing smth,Быть в состоянии делать что-то,1
To require,Требовать,1
To improve,Улучшать,1
Noble,Благородный,1
Wise,Мудрый,1
To treat like …,Относиться как к …,1
To advertise,Рекламировать,1
It is a must,Это обязательно,1
Do ones duty,Выполнять чей-то долг,1
To take a step forward,Сделать шаг вперед,1
To dare,Сметь,1
By chance,Случайно,1
Take it easy,Не огорчайся,1
To stand out,Выделяться,1
